"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"32383",32383,32383,"21efe8fb-eb55-4f98-abfc-3173a1c00440","konduga","borno","northeast","11.68209291 13.36525791 354.1000061035156 5.0","Bendigeri  primary","primary_only","borno_konduga",438,"1335883589657.jpg","21efe8fb-eb55-4f98-abfc-3173a1c00440","primary_only","1335883589657.jpg",5,"formal_educ",FALSE,TRUE,0,5,NA,NA,TRUE,FALSE,0,1.19459459459459,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,203,TRUE,FALSE,FALSE,TRUE,11.2777777777778,11.2777777777778,81.2,Inf,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"32384",32384,32384,"755d9028-ec3d-4b9a-b205-b67912d4371c","konduga","borno","northeast","11.65055229 13.41156618 347.79998779296875 5.0","Lawan mustapha primary school / junior.secondary school","primary_and_junior_sec","borno_konduga",438,"1335947004504.jpg","755d9028-ec3d-4b9a-b205-b67912d4371c","primary_and_junior_sec","1335947004504.jpg",54,"formal_educ",FALSE,FALSE,0,24,1032,0.527337761880429,FALSE,FALSE,5,1.45545796737767,TRUE,FALSE,489.25,FALSE,16,TRUE,FALSE,FALSE,TRUE,48.925,FALSE,FALSE,TRUE,FALSE,5.75588235294118,5.75588235294118,36.2407407407407,Inf,29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"32385",32385,32385,"1be196d3-d116-4ea7-9697-6da8f7d0e106","konduga","borno","northeast","11.3894931 12.720383 389.70001220703125 5.0","Yajiwa primary school","primary_only","borno_konduga",438,"1336044196147.jpg","1be196d3-d116-4ea7-9697-6da8f7d0e106","primary_only","1336044196147.jpg",8,"formal_educ",TRUE,FALSE,4,1,NA,NA,TRUE,NA,20,1.36029411764706,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,53.5,TRUE,FALSE,TRUE,TRUE,NA,NA,40.125,NA,8,TRUE,NA,TRUE,TRUE,FALSE,FALSE,"education"
"32386",32386,32386,"d309ff27-d0ef-4030-b393-ac6f3fb29d44","konduga","borno","northeast","11.65400881 13.41718104 349.3999938964844 5.0","Govt. Day jnr.sec. sch","juniors_sec_only","borno_konduga",438,"1335952426415.jpg","d309ff27-d0ef-4030-b393-ac6f3fb29d44","juniors_sec_only","1335952426415.jpg",15,"formal_educ",FALSE,TRUE,NA,10,NA,NA,TRUE,FALSE,NA,1.02272727272727,FALSE,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,44.5,FALSE,FALSE,TRUE,TRUE,3.95555555555556,3.95555555555556,11.8666666666667,5,9,TRUE,NA,FALSE,FALSE,TRUE,FALSE,"education"
"32387",32387,32387,"c18b13b5-2467-4ea3-b1f4-0f2bdbc14e80","konduga","borno","northeast","11.95525371 13.00067163 357.29998779296875 5.0","Chabbol kura primary school","primary_and_junior_sec","borno_konduga",438,"1336119014715.jpg","c18b13b5-2467-4ea3-b1f4-0f2bdbc14e80","primary_and_junior_sec","1336119014715.jpg",20,"formal_educ",FALSE,FALSE,9,5,400,0.650406504065041,TRUE,TRUE,20,0.977491961414791,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,47.3076923076923,FALSE,FALSE,TRUE,FALSE,12.3,12.3,30.75,Inf,20,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"32388",32388,32388,"c3f39b3e-5eb2-4659-b5eb-c2798a75f889","konduga","borno","northeast","11.6535774 13.41760302 317.0 5.0","Konduga central pri sch","preprimary_and_primary","borno_konduga",438,"1335950253709.jpg","c3f39b3e-5eb2-4659-b5eb-c2798a75f889","preprimary_and_primary","1335950253709.jpg",34,"formal_educ",FALSE,TRUE,6,23,NA,NA,TRUE,FALSE,0,0.871326449563145,TRUE,TRUE,589,FALSE,5,FALSE,FALSE,TRUE,FALSE,138.588235294118,FALSE,FALSE,TRUE,TRUE,23.56,23.56,69.2941176470588,3.4,15,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"education"
"32389",32389,32389,"d9545384-8352-42e0-b881-d4c33fff7d08","konduga","borno","northeast","11.67613988 13.410694 338.6000061035156 5.0","Yaleri prinary sch","primary_only","borno_konduga",438,"1335883864504.jpg","d9545384-8352-42e0-b881-d4c33fff7d08","primary_only","1335883864504.jpg",0,"formal_educ",FALSE,FALSE,3,NA,NA,NA,TRUE,TRUE,0,0.433962264150943,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,25.3333333333333,TRUE,FALSE,FALSE,TRUE,NA,NA,Inf,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,"education"
"32390",32390,32390,"bee97ed9-33d0-467b-a8cc-4917d39d4ce7","konduga","borno","northeast","11.22444178 12.81137271 386.1000061035156 5.0","Sandiya primary school","primary_only","borno_konduga",438,"1336049594595.jpg","bee97ed9-33d0-467b-a8cc-4917d39d4ce7","primary_only","1336049594595.jpg",8,"formal_educ",FALSE,TRUE,3,2,NA,NA,TRUE,TRUE,0,1.49468085106383,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,67,TRUE,FALSE,TRUE,TRUE,Inf,Inf,58.625,4,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"32391",32391,32391,"0c6441c1-df18-474f-9a53-e46fa881b81f","konduga","borno","northeast","11.62102303 13.45905307 366.0 5.0","Towairi","primary_only","borno_konduga",438,"1335953439751.jpg","0c6441c1-df18-474f-9a53-e46fa881b81f","primary_only","1335953439751.jpg",7,"formal_educ",FALSE,FALSE,2,5,NA,NA,TRUE,FALSE,0,1.28012048192771,FALSE,NA,NA,FALSE,1,FALSE,FALSE,FALSE,FALSE,189.25,TRUE,FALSE,FALSE,TRUE,Inf,Inf,108.142857142857,3.5,7,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
"32392",32392,32392,"45e90fea-2b0c-4cab-a162-0be5d1cd0d59","konduga","borno","northeast","11.69716204 13.33665416 353.0 5.0","Kaigamari primary","primary_only","borno_konduga",438,"1335882505983.jpg","45e90fea-2b0c-4cab-a162-0be5d1cd0d59","primary_only","1335882505983.jpg",5,"formal_educ",FALSE,FALSE,2,5,NA,NA,TRUE,FALSE,0,0.547619047619048,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,390,TRUE,FALSE,FALSE,TRUE,Inf,Inf,156,Inf,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"education"
