"","X","X_id","uuid","lga","state","zone","X_lga_id","gps","formhub_photo_id","unique_lga","photo","water_point_type","Classification","water_source_type","water_scheme_type","community","ward","is_improved","lift_mechanism","functional","breakdown","pay_for_water_yn","distribution_type"
"1682",1682,"88aad92e-7df3-484b-8b39-a4350e7436a5","88aad92e-7df3-484b-8b39-a4350e7436a5","Afikpo North","Ebonyi","Southeast",16,"5.91594913 7.88446524 133.3000030517578 5.0","1336400607914.jpg","ebonyi_afikpo_north","1336400607914.jpg","Tap",NA,NA,"outlet","Ezeike Community","Ezeike Ward B","Yes","Tap (unknown lift)","Yes","Functional","No",NA
"1683",1683,"7bfb34c5-66d4-483b-9f70-d4a28cd79e37","7bfb34c5-66d4-483b-9f70-d4a28cd79e37","Afikpo North","Ebonyi","Southeast",16,"5.91557605 7.88707948 80.0 5.0","1336401514457.jpg","ebonyi_afikpo_north","1336401514457.jpg","Tap",NA,NA,"outlet","Ezieke Community","Ezieke Ward B","Yes","Tap (unknown lift)","No","Mechanical Issue","No",NA
"1684",1684,"4f543fe6-4569-4a53-a1cd-b360365797b1","4f543fe6-4569-4a53-a1cd-b360365797b1","Afikpo North","Ebonyi","Southeast",16,"5.88829771 7.95207775 125.0999984741211 5.0","1336038728555.jpg","ebonyi_afikpo_north","1336038728555.jpg","Tap",NA,NA,"outlet","Ugwuego Community","Ugwuego","Yes","Tap (unknown lift)","Yes","Functional","Yes",NA
"1685",1685,"778e3a6d-7ae7-4ab9-ae25-ed8432050d6b","778e3a6d-7ae7-4ab9-ae25-ed8432050d6b","Afikpo North","Ebonyi","Southeast",16,"5.89556679 7.9292329 145.0 5.0","1335948058217.jpg","ebonyi_afikpo_north","1335948058217.jpg","Tap",NA,NA,"outlet","Government Sec. School","Ohaisu A","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1686",1686,"e87d0cd0-1eec-4377-903f-8fe5d0a0b2db","e87d0cd0-1eec-4377-903f-8fe5d0a0b2db","Afikpo North","Ebonyi","Southeast",16,"5.91532812 7.88676757 65.0999984741211 5.0","1336401265460.jpg","ebonyi_afikpo_north","1336401265460.jpg","Tap",NA,NA,"outlet","Ezieke Community","Ezieke Ward B","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1687",1687,"bd5a626d-7097-4f2d-a576-9391f0c20dab","bd5a626d-7097-4f2d-a576-9391f0c20dab","Afikpo North","Ebonyi","Southeast",16,"5.88723707 7.97080678 150.60000610351563 5.0","1336031366685.jpg","ebonyi_afikpo_north","1336031366685.jpg","Tap",NA,NA,"outlet","Amaoge Ozizza","Ibii / Ozizza","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1688",1688,"7e9cbd26-e535-498c-b15c-666e71eebf08","7e9cbd26-e535-498c-b15c-666e71eebf08","Afikpo North","Ebonyi","Southeast",16,"5.88612497 7.94320001 109.9000015258789 5.0","1335963277371.jpg","ebonyi_afikpo_north","1335963277371.jpg","Tap",NA,NA,"outlet","Egeburu","Ohaisu B","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1689",1689,"3ff83de6-d97c-428f-be2f-5772afb20f90","3ff83de6-d97c-428f-be2f-5772afb20f90","Afikpo North","Ebonyi","Southeast",16,"5.88108238 7.93770927 86.80000305175781 5.0","1335956393534.jpg","ebonyi_afikpo_north","1335956393534.jpg","Tap",NA,NA,"outlet","Amaokwu Amangballa","Ohaisu B","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"1690",1690,"b2a433da-8488-41f6-aab1-173f9fb5de7e","b2a433da-8488-41f6-aab1-173f9fb5de7e","Afikpo North","Ebonyi","Southeast",16,"5.87521492 7.93209961 75.69999694824219 5.0","1336146321848.jpg","ebonyi_afikpo_north","1336146321848.jpg","Tap",NA,NA,"outlet","Amaeke Mgbom","Itim","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1691",1691,"9b165767-5dd7-4981-bcd7-cd08913bd838","9b165767-5dd7-4981-bcd7-cd08913bd838","Afikpo North","Ebonyi","Southeast",16,"5.87940111 7.94183359 96.0999984741211 5.0","1336059464601.jpg","ebonyi_afikpo_north","1336059464601.jpg","Tap",NA,NA,"outlet","Amaizu Community","Amaizu","Yes","Tap (unknown lift)","No","Mechanical Issue","No",NA
"1692",1692,"ed84aaab-db26-4dd9-83fd-d9f90b7d92a7","ed84aaab-db26-4dd9-83fd-d9f90b7d92a7","Afikpo North","Ebonyi","Southeast",16,"5.87251322 7.92769616 54.5 5.0","1336143105581.jpg","ebonyi_afikpo_north","1336143105581.jpg","Tap",NA,NA,"outlet","Mgbom","Itim","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1693",1693,"2c0c0480-e068-4d82-b8d9-8a41e78b9ba5","2c0c0480-e068-4d82-b8d9-8a41e78b9ba5","Afikpo North","Ebonyi","Southeast",16,"5.91969756 7.88431552 62.599998474121094 5.0","1336396633444.jpg","ebonyi_afikpo_north","1336396633444.jpg","Tap",NA,NA,"outlet","Amaozara Community","Ezeke Ward A","Yes","Tap (unknown lift)","Yes","Functional","No",NA
"1694",1694,"c8ae4864-9eae-4ad8-84a9-c1cf1e2a6b6c","c8ae4864-9eae-4ad8-84a9-c1cf1e2a6b6c","Afikpo North","Ebonyi","Southeast",16,"5.88417127 7.94017772 100.80000305175781 5.0","1335961941780.jpg","ebonyi_afikpo_north","1335961941780.jpg","Tap",NA,NA,"outlet","Amangballa","Ohaisu B","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1695",1695,"34a6bc30-ceb6-46b8-b57e-afe27b44cbd9","34a6bc30-ceb6-46b8-b57e-afe27b44cbd9","Afikpo North","Ebonyi","Southeast",16,"5.88775313 7.93169633 114.19999694824219 5.0","1335972382440.jpg","ebonyi_afikpo_north","1335972382440.jpg","Tap",NA,NA,"outlet","Amaichara agbom","Ohaisu A","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1696",1696,"dd8083a1-75af-4afa-8294-108e1ecb01b6","dd8083a1-75af-4afa-8294-108e1ecb01b6","Afikpo North","Ebonyi","Southeast",16,"5.9729402 7.95548159 86.4000015258789 5.0","1336130217903.jpg","ebonyi_afikpo_north","1336130217903.jpg","Tap",NA,NA,"outlet","Amata Elu Community","Amata Elu Ward A","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1697",1697,"d449dce9-4a56-4394-a066-d5ac6fe0000b","d449dce9-4a56-4394-a066-d5ac6fe0000b","Afikpo North","Ebonyi","Southeast",16,"5.87947459 7.93083712 38.400001525878906 5.0","1335980761364.jpg","ebonyi_afikpo_north","1335980761364.jpg","Tap",NA,NA,"outlet","Mgbom","Itim","Yes","Tap (unknown lift)","No","Mechanical Issue","No","Water Scheme, Source within 100m"
"1698",1698,"981d5307-9f1e-4317-8c15-2d1b40fe60f6","981d5307-9f1e-4317-8c15-2d1b40fe60f6","Afikpo North","Ebonyi","Southeast",16,"5.96920585 7.95420071 68.4000015258789 5.0","1336132862936.jpg","ebonyi_afikpo_north","1336132862936.jpg","Tap",NA,NA,"outlet","Amata Elu Community","Amata Elu Ward","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1699",1699,"ea2d352f-a88f-40a8-a5a5-89cdb929a6ec","ea2d352f-a88f-40a8-a5a5-89cdb929a6ec","Afikpo North","Ebonyi","Southeast",16,"5.88428656 7.93993684 101.5 5.0","1335962280415.jpg","ebonyi_afikpo_north","1335962280415.jpg","Tap",NA,NA,"outlet","Amangballa","Ohaisu B","Yes","Tap (unknown lift)","No","Poorly Constructed","No","Water Scheme, Source within 100m"
"1700",1700,"8ecb86e1-040f-4645-88fd-e60eff09de25","8ecb86e1-040f-4645-88fd-e60eff09de25","Afikpo North","Ebonyi","Southeast",16,"5.79260158 7.93385809 68.80000305175781 5.0","1336473326525.jpg","ebonyi_afikpo_north","1336473326525.jpg","Tap",NA,NA,"outlet","Unwana Community","Unwana Ward B","Yes","Tap (unknown lift)","Yes","Functional","No",NA
"1701",1701,"bd74e4fc-f1c3-4341-b83a-a9273e4142ef","bd74e4fc-f1c3-4341-b83a-a9273e4142ef","Afikpo North","Ebonyi","Southeast",16,"5.86188595 7.94872602 125.0999984741211 5.0","1336149296095.jpg","ebonyi_afikpo_north","1336149296095.jpg","Tap",NA,NA,"outlet","Enohia Nkalu","Itim","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1702",1702,"18bfc041-c325-4501-ad6e-49977e584f4b","18bfc041-c325-4501-ad6e-49977e584f4b","Afikpo North","Ebonyi","Southeast",16,"5.88109628 7.93698591 64.30000305175781 5.0","1335960514284.jpg","ebonyi_afikpo_north","1335960514284.jpg","Tap",NA,NA,"outlet","Amaugwu/Amangbala 
Community","Ohaisu b","Yes","Tap (unknown lift)","Yes","Functional","Yes","Water Scheme, Source within 100m"
"1703",1703,"e17b3bf8-24a2-4e9b-ae73-4673b6f03d60","e17b3bf8-24a2-4e9b-ae73-4673b6f03d60","Afikpo North","Ebonyi","Southeast",16,"5.89178694 7.94781654 96.9000015258789 5.0","1335965528498.jpg","ebonyi_afikpo_north","1335965528498.jpg","Tap",NA,NA,"outlet","Newsite Evuma","Ohaisu B","Yes","Tap (unknown lift)","Yes","Functional","No","Water Scheme, Source within 100m"
"1704",1704,"de466a16-fc91-43ec-b625-5ab174fd8eab","de466a16-fc91-43ec-b625-5ab174fd8eab","Afikpo North","Ebonyi","Southeast",16,"5.91519395 7.87856116 51.20000076293945 4.0","1336381636290.jpg","ebonyi_afikpo_north","1336381636290.jpg","Tap",NA,NA,"outlet","Ezi Uche Ihi Agwa Community","OPI. Ward B","Yes","Tap (unknown lift)","Yes","Functional","No",NA
